"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"Product2","Product","Id","Product ID","id",18,false,"[]",,false,false,,"[]",false
"Product2","Product","Name","Product Name","string",255,false,"[]",,false,true,,"[]",false
"Product2","Product","ProductCode","Product Code","string",255,true,"[]",,false,true,,"[]",false
"Product2","Product","Description","Product Description","textarea",4000,true,"[]",,false,true,,"[]",false
"Product2","Product","IsActive","Active","boolean",0,false,"[]",,false,true,,"[]",false
"Product2","Product","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"Product2","Product","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"Product2","Product","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"Product2","Product","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"Product2","Product","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"Product2","Product","Family","Product Family","picklist",255,true,"[]",,false,true,,"[""None""]",false
"Product2","Product","RecordTypeId","Record Type ID","reference",18,true,"[""RecordType""]","RecordType",false,true,,"[]",false
"Product2","Product","ExternalDataSourceId","External Data Source ID","reference",18,true,"[""ExternalDataSource""]",,false,true,,"[]",false
"Product2","Product","ExternalId","External ID","string",255,true,"[]",,false,true,,"[]",false
"Product2","Product","DisplayUrl","Display URL","url",1000,true,"[]",,false,true,,"[]",false
"Product2","Product","QuantityUnitOfMeasure","Quantity Unit Of Measure","picklist",255,true,"[]",,false,true,,"[""Each""]",false
"Product2","Product","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"Product2","Product","IsArchived","Archived","boolean",0,false,"[]",,false,false,,"[]",false
"Product2","Product","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"Product2","Product","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"Product2","Product","StockKeepingUnit","Product SKU","string",180,true,"[]",,false,true,,"[]",false
"Product2","Product","Type","Product Type","picklist",40,true,"[]",,false,false,,"[""Bundle""]",false
"Product2","Product","AvailabilityDate","Availability Date","datetime",0,true,"[]",,false,true,,"[]",false
"Product2","Product","DiscontinuedDate","Discontinued Date","datetime",0,true,"[]",,false,true,,"[]",false
"Product2","Product","BasedOnId","Product Classification ID","reference",18,true,"[""ProductClassification""]","BasedOn",false,true,,"[]",false
"Product2","Product","EndOfLifeDate","End Of Life Date","datetime",0,true,"[]",,false,true,,"[]",false
"Product2","Product","HelpText","Help Text","textarea",32768,true,"[]",,false,true,,"[]",false
"Product2","Product","IsAssetizable","Is Assetizable","boolean",0,false,"[]",,false,true,,"[]",false
"Product2","Product","ConfigureDuringSale","Configure During Sale","picklist",40,true,"[]",,false,true,,"[""Allowed"",""Not Allowed""]",false
"Product2","Product","IsSoldOnlyWithOtherProds","Sell only with other products","boolean",0,false,"[]",,false,true,,"[]",false
"Product2","Product","SpecificationType","Specification Type","string",255,true,"[]",,false,false,,"[]",false
"Product2","Product","DecompositionScope","Decomposition Scope","picklist",40,true,"[]",,false,true,,"[""Order Line Item"",""Order"",""Bundle"",""Account""]",false
"Product2","Product","FulfillmentQtyCalcMethod","Fulfillment Quantity Calculation Method","picklist",40,true,"[]",,false,true,,"[""Aggregate"",""Always One""]",false
"Product2","Product","UsageModelType","Usage Model Type","picklist",40,true,"[]",,false,true,,"[""Anchor"",""Pack"",""Commit""]",false
